bn,rm
রুট করার কোনো ওয়ে আছে ? ,root korar kono way ase ?
ওইটা নিয়ে একটা গেমিং রিভিউ দেন,oita niya ekta gaming review den 
ভাই রোম টা ভার্সন কতো ? ,Bhai rom ta version koto ?
ভাই সেল করা বা না করা সব ই আপনাদের মানুষিক এর বেপার।,bhai sell kora ba na kora sob e apnader manushik ar bepar.
ভাই সব ই তো,Bhai shob e to 
ভাই উইদআউট ডাটা কানেকশন এটা  কি কাজ,Bhai without data connection eta ki kaj
হ্যাক হওয়ার সম্ভাবনা নাইতো??,hack howar somvabona naito??
ভাইয়া অ্যাপ আপডেট এর কাজ চলতেছে তাই এই রকম কম ফলোয়ার পাওয়া যাচ্ছে ।,Bhaiya app update ar kaj cholteche tai ai rokom kom follower payoya jacche .
ভাইয়া ডাইরেক্ট ডাউনলোড লিংক দিছি ,Bhaiya Direct Download Link Disi
ভাইয়া ফোলোয়ার কমে যাচ্ছে ,Bhaiya follower kome jacche
ভাইয়া লিংক ঠিক করে গুগল ড্রাইভ এর লিংক দিছি ,Bhaiya link thik kore google drive ar link disi
ভাইয়া ওটা সার্ভার সাইড হার্ড প্রোগ্রামিং ইউজ করা হইছে,Bhaiya ota Sarvar side Hard programing use kora hoiche
ভালো ডিভাইস বলতে ? ,bhalo device bolte?
ভালো কাজ করতাছে....,bhaloi kaj kortase….
আগে থেকেই খুঁজে নিয়েসি।,age thekei khuje niyesi. 
তখন ব্যাংক এর সিল টাকায়,tokon bank er sil takay 
বিন কাজ করতাছে না ভাই ,Bin kaj kortache na vai
বিন কতো  ডিজিট এর দিতে হবে ভাই?,BIN koto digit er dite hobe vai?
বিন টাহ এখন  ডেড ব্রো,Bin tah ekhon dead bro
বিনোদ,Binod
বিনোদন,Binodon
 বিনোদন দিলেন ভাই ,Binodon dilen vai
চ্যাট এর ফীচার আছে?,chat er feature ache?
জন্ম সাল ২০০৩  হবে না??,Birth year 2003 hobe na??
 ট্রাই করে দেখেন ,Try kore dekhen 
বিটকয়েন এ কিভাবে একাউন্ট করবো ,Bitcoin e kivabe account korbo 
বিট্রেট কমিয়ে ফেলে,Bitrate komiye fele
বিকাশ একটা অফার দিস,bkash ekta offer dis
বিকাশ অ্যাপ ইউজ করা যাবে কি?,bKash app use kora jabe ki?
বিকাশ অ্যাপ ইউজ করা যাবে কি?,bKash app use kora jabe ki?
বিকাশ এর মাধ্যমে টাকা অ্যাড করতে পারবেন ,Bkash er maddhome taka add korte parben
লাস্ট ডেট কবে ,Last date kobe
বিকাশ থেকে লেনদেন করা যায় কি  ? ,Bkash theke lenden Kora jay ki ?
ফ্রি নেট চলবে কি ? ,free net cholbe ki ?
কি চলবে ?,ki cholbe?
 সিম এ কি ফ্রি নেট চলবে???, sim a ke free net colbe???
ব্ল্যাক স্ক্রিন আসে ওয়ালপেপার  দিলে,black screen ase wallpaper dile
"ব্লক হবে না,ট্রিক আছে","Block hobe na,trick ache"
ব্লক হয় ব্রো,Block hoy bro
ব্লগার সাইটের থিম কোড কপি করে কাজ করানো যাবে কি এটা দিয়ে?,blogger siter theme code copy kore kaj korano jabe ki eta diye?
ব্লুটুথ দিয়ে  স্পিড ,Bluetooth diye  speed
ব্লুটুথ অন হবে না কিন্তু ফার্স্ট ফাইল শেয়ার করা যাবে ,Bluetooth on hobe na kintu first file share kora jabe 
বুজলাম না ভাই ,bujlam na vai
বুজলাম না।,bujlam na.
বলেন,Bolen
বলে ভাই বলে… বাংলা লেখা বাংলায়  বলে ,bole vai bole… Bangla lekha banglay bole
বেটা রম আছে,Beta Rom asa
বেটা ইউজ করেন ,Beta use koren
বেটা ভার্সন না ,beta version na
 একটু খুজে দেখতে পারেন,ekto khujhe dekhteh paren
বেটা ভার্সন টা দেন ,Beta version ta den
বেটা ভার্সনটা ডাউনলোড করেন ,beta version download koren
বেটারিং আছে অনেক,Bettering ache onek
ভাই ১টা কীবোর্ড অ্যাপস দেন,Bhai 1ta keyboard apps dan 
ভাই ২ন্ড লাইন অ্যাপ সামথিং এরোর দেখায়।,Bhai 2nd line app something error dekhay.
ভাই এ তো নাম্বার কই পাবো? অন্য কোনো উপায়ে হ্যাক করা,Bhai a to number koi pabo? Onno kono upaye hack kora 
ভাই একটা অ্যাপস প্লেস্টোর এ পাবলিশ করে দিতে,bhai ekta apps play store e publish kore dite
"ভাই আমি ইন্ডিয়ান,আমি এটা জানি","Bhai ami indian,ami eta jani"
ফ্রি থাকলে কিছু দেন কথা বলার জন্য ? ,free Thakle Kisu den Kotha Bolar Jonno ?
ভাই এন্ড্রোইড এথিকাল হ্যাকিং মেগা লিংক কাজ করি,Bhai Android ethical hacking mega link kaaj kori
ভাই আপনি কি ফ্রি নেট ইউজ করতেছেন… এয়ারটেল এ ফ্রি নেট থাকলে পোস্ট টি দেন...,Bhai apni ki free net use kortechen… Airtel e free net thakle post ti den…
আরে মিয়া চোখ কই থাকে ওই পোস্ট হলো এমএক্স  প্লেয়ার প্রো এর আর এটা  হলো প্লে স্টোর এর।,Are miya chokh koi thake oi post hlo MX Player Pro er ar eta hlo Play Store er.
আরে তাইতো চিন্তার বিষয় আজ কাল ট্রিকবিডি তো দেখি ,are taito cintar bisoy aj kal trickbd to dekhi 
আরে ভাই এসব ফাউল পোস্ট করার আগে নিজে ট্রাই করে দেখবেন যত্তসব,are vai esob faul post korar age nije try kre dekhben jottosob
আরে ভাই এটা  ওনলি ৫.০.২/৫.০ ভার্সন এর জন্য,Are vai eta only 5.0.2/5.0 version er jonno
আরে ভাই আইটেল মার্কেট কেমনে  পাবে ,are vai itel market kemne pabe 
আরে ভাই যে সিম হ্যাক করবেন ,Are vai je sim hack korben
আরে ভাই ঝগড়া না করে প্রব্লেম টা কি সেটা উল্লেখ করলেই তো হয়…..,Are Vai Jhogra Na Kore Problem Ta Ki Seta Ullekh Korlei To Hoy…..
আরে ভাই প্লে স্টোরে এত আপডেট ভার্সন শেয়ারইট  কেমনে মোডিফাই করবো ,Are vai play store e update version shareit kemne modify korbo
আরে ভাই রে ভাই কে আপনি?? ,Are vai re vai ke apni?? 
আপনি জানলেও সবাই জানে না ,Apni janleo shobai jane na
আপনি যে প্রিমিয়াম  ভিডমেট  আপলোড দিছেন,Apni je premium vidmate upload disen 
আপনি যে স্প্যাম্প করতেছেন সাবস্ক্রাইবার হওয়ার ইচ্ছা আছে না কি ,apni je spamp kortechen subscriber howar iccha ache na ki
আপনি যেটা দিছেন ঐটা ইউজ করছি প্রব্লেম হয় ,Apni jeta disen oita use krsi problem hoy 
জানেন ,janen 
আপনি যদি ২৪ ঘন্টা কানেক্ট রাখেন তাহলে জানতে পারবে,apni jodi 24 ghonta connect rakhen tahole jante parbe
আপনি যদি এতই পারেন তাহলে পোস্ট করতেন,Apni jodi atoi paren tahole post korten
এডিট করা শিখাইতেন। তখন থেকে আপনাকে ফলো করতেছি।এখনো করছি।,edit kora shikhaiten. Tokhon theke apnake follow korteci.ekhono korci.
আমি এর আগেও অ্যাপ তা চালাতে পারিনি,ami er ageo app ta chalate parini
একটি সমাধান আছে আশা করি,ekti somadhan ache asha kori 
আপনারাও পাবেন,apnerao paben
 সেট আপ করতে পারতেসি না ,set up korte partesi na
বলেন কি? ,Bolen ki? 
বললেই তো হয় পাবো না টাকা লাগবে,bolley to hoy pabo na taka lagbe
বলসি আমি কি এই পোস্ট শুধু আপনার জন্য করি নাকি বুঝলাম না,Bolsi Ami ki ei post sudhu apnar jonno Kori naki bujhlam na 
বলতেসি আপনি কি আমার রেফার,boltesi apni ki amar Refer 
বলতেসি মুভিস ডাউনলোড,Bolteci movies download
ফোন মেমরি সব কিছু ডিলিটেড হয়ে যাবে,Phone memory sob kisu deleted hoye jabe
 ফোন মেমরি সব কিছু ডিলিটেড হয়ে যাবে নাকি? ,Phone memory sob kisu deleted hoye jabe naki? 
 কাজ না করলে ফন্ট নষ্ট হবে ,Kaj na korle font nosto hobe
বড় ভাই আমি আপনার পোস্ট কপি করি নাই ,Boro vai ami apnar post copy kori nai
বড় ভাই এটা তো প্রো ভার্সন না ,boro vai eta to pro version na
ওই লিঙ্ক পাওয়া যায় না ,oi link pawa jay na
বাস্তবে মার্কেট প্রাইস ১৪০০ হাজার এর এক টাকা ,Bastobe market price 1400 hajar er ek taka 
বট টা কি আপনার ?,Bot Ta Ki Apnar ?
"ব্রেভ এ আরন করা যায়,","Brave e earn kora jay,"
ব্রেভ অ্যাপ এর ফ্রি ৭০ ব্যাট পেতে,Brave app er free 70 BAT Pete
ব্রেভ ব্রাউসার কখনো ইউজ করেছেন……,brave browser kokhono use korechen……
ব্রাজিল আর খেলা দেখা যাবে,Brazil er khela dekha jabe 
ব্রিক করলে কি করবো,brick korle ki korbo
কেনো আমার একাউন্ট এ??? ,keno amar account e??? 
ব্রো ২ন্ড পার্ট এর জন্য ,Bro 2nd part er jonno 
ব্রো ৩০ দিন আজকে শেষ হলো,Bro 30 din ajk sesh holo 
 ইউজ করার কি কোনো ওয়ে   আছে??,use krar ki kono way ache??
ব্রো ৪৫০০-৫০০০ টাকায় বেস্ট ফোন সাজেস্ট করবেন,bro 4500-5000 takay best phone suggest korben
আচ্ছা ব্যাকআপ হওয়া পিক ফন থেকে ডিলিট হয়ে গেলে গুগল ফটোস থেকে আবারো রিস্টোর করবো,Accha backup howa pic phn theke delete hoye gele google photos theke abaro restore korbo
আচ্ছা ব্রো তাহলে এর থেকে মান হীন  পোস্ট গুলো ডিলিট করিয়ে আসুন,accha bro tahole er theke man hin post gulo delete koriye asun
আচ্ছা দিন তো,Accha din to 
ভিডিও হোস্টিং এর জন্য কোন সার্ভার ইউজ করলে বেটার হই?,video hosting er jonno kon server use korle better hoi?
আচ্ছা অনেকেই জানেনা,accha onekei jane na 
আচ্ছা ঠিক আছে ,accha thik ase
আচ্ছা ভাই বুঝলাম যে নেভিগেসন বার এ ফটো অ্যাড করার একটা পদ্ধতি আছে ,Accha vai bujhlam je nevigation bar e photo add korar ekta poddhoti ache
আচ্ছা ভাই এই জিক্যাম দিয়ে কি ফটো ব্লার এন্ড স্লো মোশন ভিডিও করা যাবে কি? ,Accha vai ei gcam diye ki photo blur and slow motion video kora jabe ki? 
আচ্ছা ভাই এর পর থেকে সকল পোস্ট এ বিস্তারিত আলোচনা করবো,Accha vai er por theke sokol post e bistarito alocona korbo 
আচ্ছা ভাই ভালো ভালো অ্যাপের প্রিমিয়াম দেন,Accha vai valo valo apper premium den
আচ্ছা ভাই ভিপিএন থাকলে আবার এফবি তে সমস্যা হবে না?,accha vai vpn on thakle abar fb te somosssa hobe na?
পাবজি অ্যাপ ছাড়া খেলা যাবে?,pubg app chara khela jabe?
সাবস্ক্রাইবার & কন্ট্রিবিউটর এর পার্থক্য কি বলবেন প্লিজ ,subcriber & contributor er parthokko ki bolben please
থাম্বনেইল কপি করলে কি কপিরাইট হবেনা??,thumbnail copy korle ki copyright hobena??
আমি এরকম সমস্যা দেখলে  অবশ্যই তার সমাধান সহ একটা টিউন পাবলিশ করবো ,ami erokom somossha dekhle obosshoi tar somadhan shoho ekta tune publlish korbo 
একাউন্ট এ লগইন করতে গেলে এটা লেখা আসতাসে ,account e login korte gele eta lekha astase
অ্যাকাউন্ট এর কোনো প্রব্লেম হবে?? ,Account er kono problem hobe??
একাউন্ট ব্যান করবে।,account ben korbe.
একাউন্ট ব্লক হবে না,Account block hobe na
একাউন্ট ব্লক হবেনা..,account block hobena..
আছে মসজ দাও বলতেসি,Ache msg daw boltesi
একক ইনবক্স করেন এফবিতে ,ekk inbox koren fb te
ইনবক্স করে রাখেন খুঁজে পেলে ইনসাআল্লাহ দিবো ,Inbox kore rakhhen khuje Pele insallah dibo
ট্রিকবিডি তে  অ্যাপ টা নিয়ে পোস্ট আছে ,Trickbd te app ta niye post ace
ভাই আমাকে এই জিমেইল এ একটু শেয়ার করে দিবেন?,Vai amke ei Gmail e ektu share kore diben?
আমি জাস্ট শিখানোর জন্য ভিডিও বানাইসি ,Ami just sikhanor jonno video banaisi
ব্রো আমি তো গেম এ ঢুকতে পারতেসি ডাটা অন অফ ট্রিক কাজে লাগিয়ে,Bro ami to game e dhukte partesi data on off trick kaje lagiye 
আমার ডাউনলোড হয় না কেন ?,amar download hoy na keno ? 
আমার রেফারেন্স ,amar reference
ব্রো আপনাকে ধন্যবাদ না দিয়ে পারসি না।,Bro apnake donnobad na diye parsi na.
আপনাকেই খুজসে বাংলাদেশ ,apnakei kujse bangladesh
ব্রো আপনার  ক্লোনের অ্যাপ টার  লিংক টা দেন ,Bro apnar cloner app tar link ta Den
ব্রো আপনার ফেইসবুক প্রোফাইল টা পেতে পারি?,bro apnar Facebook profile ta pete pari?
আপনার এফবি লিঙ্ক টা দেন ,apnar fb link ta dn
ব্রো আপনার ফোন এইটা  কি কাস্টম,bro apnar phone eita ki custom 
ব্রো আপনার ফোন নাম্বার টা প্লিজ দিবেন।,Bro apnar phone number ta please diben.
ব্রো আপনার ফোনের মডেল কতো ??????,Bro apnar phoner model koto ??????
ব্রো আপনার সাইট এ ট্রাফিক পাঠান ডাউনলোড এর জন্য,Bro apnar site a traffic pathan download er jonno
আপনার সব পোস্ট এ আমার ভালো লাগে...,apnar sob post e amr vhalo lage…
ব্রো আপনি যে কোর্স গুলো শেয়ার করেছেন সকল একটা সাইট থেকে ডাউনলোড,bro apni je course gulo share korechen sokol ekta site theke download 
আপনি কি টেলিগ্রাম ইউজ করেন ,apni ki telegram use koren
ব্রো অ্যাপ ক্লোন অ্যাপ টার লিংক দেন,bro app clone app tar link den
আমার প্রাইম ভার্সন দরকার,amar prime verson drkar
ব্রো অ্যাপস মডিং শিখার জন্য কি কোনো সাইট বা ইউটিউব চ্যানেল আছে?,bro apps moding shikhar jonno ki kono site ba youtube chanel ache?
আপনার সাথে যোগাযোগ করতে চাই ,apnar sathe jogajog korte chai 
এটা দিয়ে কি কাজ করেন? ,eta diye ki kaj koren?
ধন্যবাদ।,dhonnobad.
আপনার কি হলো ? ,Apnar Ki Hlo?
 এফবি আইডি লিঙ্ক দেন ,fb id link den
আপনার রিয়েল নাম কি ? ,apnar real name ki ? 
আপনদর সপ এ রিয়েল্মি আছে ?,apndr shop e realme ase?
আপনি গুগল দেখেন ওল্ড ভার্সন আছে ,apni google dekhen old version ache
 আপনে  তাহলে কি ভাই??? ,Apne tahole ki vai???
আপনে ট্রাই করছেন ভাই?,Apne try korcen to vai?
আপনে  ইউজ করেন?,Apne use koren?
এই অপশন আমার ফোন এ নাই ,ai option amar phone e nai
এই অপসন গুলো স্যামসুং ৮ ভার্সন টাকা কাজ করে শুধু ,Ai option gulo samsung 8 verson taka kaj kore shudhu
এই ফোন গেম ভালো চলবে ,Ai phone game valo cholbe
এই ফোন সম্পর্কে আপনি কিছুই জানেন নাহ...,ai phone somporke apni kesui janen nah…
এই প্লাটফর্ম আর আপনাদের যোগ্য না ,ai platform er apnader joggo na
এই পোস্ট আমি ৩ মানথ আগে করছিলাম ,Ai post ami 3 month age korcilam
এই পোস্ট আরো ১ ইয়ার আগে ট্রিকবিডি তে হয়েছিল,Ai post aro 1 year age trickbd te hoyechilo
এই পোস্ট করা আছে ভাই ,ai post kora ache vai
এই পোস্ট করতে২ ফেনা উঠে গেছে..,Ai post korte2 fena uthe geche..
প্লিজ হেল্প ….??,plz help ….??
ব্রো সেলফিন একাউন্ট খুললে ,Bro cellfin account khulle 
 আমার জিমেইল এ তার ফটো আসবে,amar gmail a tar photo asbe
সব ঠিকই আসে প্লিজ,Sb thiki ase plz 
ব্রো কম্পিউটার আপনি বার বার ,bro computer apni bar bar 
"ব্রো ডাউনলোড হইছে, বাট ওপেন হয়না","bro dawonload hoice, but open hoyna"
ব্রো দেখলেন আপনি পোস্ট করতে থাকেন,bro dekhlen apni post korte thaken 
ব্রো ডাউনলোড লিংক,Bro download link 
ব্রো ডাউন  গুগল ড্রাইভ লিংক দিয়েছি ,bro down  google drive link diyechi 
সেল করা হবে ?,sell kora hobe?
কোনো অ্যাপ শেয়ার করলেই পারতেন ,kono app share korlei parten
কল দিন ,call din
কল করা যায় না এমনি…?,call kora jay na emni…?
রুট লাগবে না , root lagbe na
ডাউনলোড লেখা আসে….. ডাউনলোড পার্মিশন অন করেন,download lekha ase….. Download permition on koren
কানাডার নম্বর নেয়ার ট্রিক তা বলেন,Canadar number neyar trick ta bolen
ট্রিকবিডি এর সাথে থাকুন,trickbd er sathe thakun
"কার্ড নাই, পেপাল একাউন্ট ও নাই… কেমনে করব হেল্প ?","card nai, paypal account o nai… kemne korbo help ?"
ক্যাশব্যাক এর মসজ কই ,Cashback er msg koi
ক্যাশব্যাক কি বিকাশ এ পাবো,Cashback ki bkash e pabo
চাইলে পোস্ট করতে পারি ,cayle post korte pari
ক্রেডিট ছাড়া পোস্ট দেন ,Credit chara post den
আমার আগের পোস্ট টা দেখেন ,Amar ager post ta dekhun
চলে ,Chole
চলে...,Chole…
চোর চোর চোর ,chor chor chor
চোর চোর চোর চোর চোর,chor chor chor chor chor
ক্রোম দিয়ে ট্রাই করে দেখেন ,chrome diye try kore dekhen
ক্রোম ইউজ করুন,chrome use korun
সিটি ব্যাংক হ্যাক করুন ,City bank hack korun
ক্লেইম করার পরের দিন ও কয়েন জমা হচ্ছে না ব্রো,claim korar porer din o coin joma hoccena bro
ক্লিয়ার ডাটা দেআ,Clear data dea
ক্লোন অ্যাপস দিয়া লগইন করে আর কাজ করছে না ,clon apps dia login kore ar kaj korche na 
"ক্লোন বিকাশ অ্যাপ ক্রাসড দেখাই, ওপেন হয় না।","Clone bkash app crushed dekhai, open hoy na."
কোড হ্যাক হবে..?? ,code hack hobe..??
কোড আসে না অনেক ট্রাই করলাম ভাই,code ase na onek try korlam vai
কোড চেঞ্জ করেন ,Code change koren
কোড ডায়াল করলে ইনভ্যালিড লেখা ওঠে,Code dial korle invalid lekha othe 
কোড গুলা র কাজ,Code Gula R Kaj
কোড কাজ করে না।,Code kaj kore na.
জাস্ট লেনদেন এর জন্য,just lenden er jonno
প্রোডাক্ট আর মূল দামের উপর ডিসকাউন্ট দেই? ,product ar mul damer upor discount dei?
কমেন্ট এ একটা লিংক  দিছি ওটা,comment e ekta link dici ota
কমেন্ট ,comment
কমেন্ট করতে পারবেন না,comment korte parben na
কমেন্ট না করে পারলাম না,Comment na kore parlam na
কমেন্ট পড়ে মজা পাইলাম…,Comment Pore Moja Pailam…
কমেন্ট পড়ে তো পুরাই হতবম্ব হয়ে গেছি,Comment pore to purai hotobombo hoye gesi
কমেন্ট ভিডিও টা দেখে নিন,comment video ta dekhe nin
কমন ডাটা সার্ভিস ,Common data service 
এইরকম ভিডিও মেক করবো…, eirokom video make korbo…
কমপ্লিট করেছি। বাট সেন্ড মানি অপসন এ যাওয়া যায়না,Complete korechi. but send money option e jaoa jayna
কম্পিউটার দিয়ে ওই একাউন্ট লগ ইন করেন,Computer diye oi account log in koren 
কম্পিউটার এ ইনস্টল করা,Computer e install kora
কম্পিউটার হেল্প ছাড়া পসিবল না  ,Computer help chara possible na
কংগ্রাচুলেশন্স ব্রো আজ আপনার পোস্ট এর জন্য অ্যাপস রিভিউ পেলো ৫৫০০ পোস্ট..,Congratulations bro aj apnar post er jonno apps review pelo 5500 post..
কংগ্রেশনাল ব্রো,congressional Bro
কানেক্ট ই হয় না ,connect e hoy na
কানেক্ট হইছে,Connect hoise 
ব্রো কাজ করে ,bro kaj kore
ব্রো এই পোস্ট এর ক্যাটেগরি আপনি এন্ড্রোইড টিপস সিলেক্ট করেছেন,bro ei post er category apni android tips select korechen
ব্রো আজকে সকালে এটা অনেক ,bro ajke sokale eta onek 
ব্রো একবার পোস্ট দাও প্লিজ,bro ekbar post dao please
বড়ো একটা ইউটিউব লোগো বানাই দিবেন,Bro ekta Youtube logo banai diben
যেকোন নোটিফিকেশন থেকে ভলিউম বাড়াতে পারি এমন অ্যাপ লিংক দিন।,jekono notification theke volume barate pari emon app link din.
ব্রো আমি আজ ১ টা পোস্ট করেছিলাম ,bro ami aj 1 ta post korecilam 
ব্রো আমি আটা ইউজ ও করি ,Bro Ami Ata Use O Kori
ব্রো আমি যেই অ্যাপ দিয়েছি,bro ami jei app diyechi
ব্রো আমি লগ ইন করতে পারছি না,Bro ami log in korte parchi na
ব্রো আমি পার্ট বাই পার্ট উইথ অল ডিটেিইলস পোস্ট বানানোর ট্রাই করবো,Bro Ami part by part with all details post bananor try korbo
ব্রো আমি রুট ছাড়া চাই ,Bro Ami root chara chai
আচ্ছা আমি টাইটেল পড়ে নেটফ্লিক্স প্রিমিয়াম এর জন্য এসেছিলাম যদি আমি সে সকল সার্ভিস (যা নেটফ্লিক্স প্রিমিয়াম এ থাকে) তা এই সাইট এ না পাই তাহলে আপনাকে অভদ্র ভাবে জানাবো ,accha ami title pore netflix premium er jonno asechilam jodi ami se sokol service (ja netflix premium e thake) ta ei site e na pai tahole apnake ovodro vhabe janabo
আচ্ছা ব্যাকআপ হওয়া পিক ফন থেকে ডিলিট হয়ে গেলে গুগল ফটোস থেকে আবরো রিস্টোর করবো,Accha backup howa pic phn theke delete hoye gele google photos theke abro restore korbo
আচ্ছা ব্রো তাহলে আর থেকে মান হীন পোস্ট গুলো ডিলিট করিয়ে আসুন,accha bro tahole ar theke man hin post gulo delete koriye asun
আচ্ছা দিন তো,Accha din to 
কানেক্ট হয় না  ,Connect hoy na
যেমন প্লেস্টোরে পাওয়া যায় এমন অ্যাপ,jemn playstore pauya jay amon app 
কুকি কাজ করে না,Cookie kaj kore na
কুকি তো কাজ করে না,Cookie to kaj kore na
কুকিজ পাস্ট বিন থেকে ডলট হইছে আপডেট,cookies past bin theke dlt hoice update 
কপি পেস্ট করলে এরোর আসে,Copy paste korle erorr ase
কপিরাইট ফ্রি কেমনে হলো?,Copyright free kmne hlo?
ইনস্টল লেখা আসলো কেনো,install lekha aslo Keno 
যাদের পেপাল নাই তারা এইগুলা ইউজ করতে পারেন..,Jader paypal nai tara eigula use korte paren ..
ক্র্যাক ফাইল ইউজ করতে হই,crack file use krte hoi
ক্র্যাকেড ভিপিএন গুলো দেখলাম অন্য সার্ভার এ কানেক্ট হয়,Cracked vpn gulo dekhlam onno server e connect hoi
ডাউনলোড লিংক এ ক্লিক করলে ,download link a click korle
ক্রিয়েট করা ম্যাসেজ গুলা কোন ফোল্ডার’এ থাকবে?,Create kora massage gula kon foldar’e thakbe?
ক্রেডিট আর্ন করার সিস্টেম আছে?,credit earn korar system ache?
ক্রেডিট হ্যাক সিস্টেম,credit hack system
ক্রেডিট ফ্রি পাওয়া যাই..??,Credit free paowa jai..??
ক্রেডিট  লাগবে,credit lagbe
ক্রেডিট  লাগবে না?,Credit lagbe na?
ক্রেডিট পাবো কই ভাই???,credit pabo koi vai???
ক্রেডিট রেট উল্লেখ করা উচিত,Credit Rate ullekh kora uchit 
কাস্টম রম ডাউনলোড প্লিজ হেল্প মি রাকিব,Custom rom download plz help me rakib 
কাস্টম রম ইনস্টল এর একটা পোস্ট দেন বিস্তারিত সহকারে,custom rom install er ekta post den bistarito sohokare
"দেখছি, কি লিখসেন?","dakhce, ki likhcen?"
দারাজ এ আজকে এই ফোন  ৮৪৫০টক তে দিচ্ছে ,daraz e ajke ai phn 8450tk te dicce
ডার্ক মোড সারা বাকি গুলা ইউজ করি বসর খানেক আগে থেকেই।,Dark mode sara baki gula use kori bosor khanek age thekei.
ডার্ক মোড থাকে আগের মোড এ যাব কীভাবে ?,Dark mode thake ager mode a jabo kivabe ?
ডার্ক ভিপিএন এর ফ্রি লিংক কারো কাছে থাকলে প্লিজ জানাবেন..,Dark vpn er free link karo kache thakle plz janaben..
 দারুণ ,Darun
দারুন একটা পোস্ট। আমার ফোন এ এই মাত্র ৫৪ % চার্জ ছিল,Darun ekta post. Amar phone a ei matro 54 % charge chilo
দারুন পোস্ট,Darun post
দারুন পোস্ট হয়েছে ভাইয়া ,Darun post hoyeche vaiya
দারুন পোস্ট ভাইয়া....,Darun post vaiya….
দারুন ভাই,Darun vay
স্টিকার গুলা বেশি ভালো লাগলো ..,Sticker gula beshi valo laglo ..
ডাটা যাই থাক  অ্যাপস ব্যাকগ্রাউন্ড এ থাকবে ,data jai thak apps background A thakbe
"ডাটা প্যাক লাগবে ডাউনলোড করতা,,","data pack lagbe download korta,,"
ডাটা প্রাইস কম,data price kom
দেখে তো মনে মনে হচ্ছে  সব ফোন এর সিস্টেম,dekhe to mone mone hosse sob phn er system
দেখেই বলসি..!!,Dekhei Bolci..!!
আপনি যদি ভিডিও দেখেউ ডাউনলোড লিংক আনলক করতে,apni jodi video dekheu download link unlock korte 
দেখেন আবার ,dekhen abar
দেখেন যে রিপোর্ট টু ডেভেলপার,dekhen je report to developer
দেখি হয় কিনা??,dekhi hoy kina??
দেখি পাই কিনা ??,dekhi pai kina ?? 
দেখি ট্রাই করে ,dekhi try kore
ডিলিট করেন পোস্ট…,Delete koren post…
আউট সাইড  ঢাকা ,out side dhaka
ডেমো দান ?,Demo Dan ?
"ডেন্ট অ্যাপ তো আমি ইউজ করি,,,,এখন কানাডা র ফোন নাম্বার কিভাবে পাবো?","Dent app to ami use kori,,,,akhon Canada r Phone number kivabe pabo?"
ডেন্ট অ্যাপস যারা কাজ করে তাদের জন্য,Dent apps jara kaz kore tader jonno 
"ডেস্কটপ মোড এ ক্লিক করেন, না হলে হবে না।","Desktop mode e click koren, na hole hobe na."
ডেস্কটপ পিসি তে কি কাজ করবে?,Desktop pc te ki kaj korbe?
ডিটেইলস এ তো ভালো করে কিছুই বললেন না,Details e to valo kore kisui bollen na
ডিভাইস ভালো থাকলে স্পিড বেশি পাবেন,Device valo thakle speed besi paben
দেয় নাই ভাই ২দিন হয়ে গেসে,dey nai vai 2din hye gese
ডিফিলিক্স সাইট টা কিছু দিন পর পর ৭/৮ দিন এর জন্য অফ থাকে,dflix site ta kisu din por por 7/8 din er jonno off thake
ধুর মিয়া এটা কোনো পোস্ট হলো এত এত কষ্ট ,Dhur Miya Ata Kono Post Holo Ato Ato Kosto 
ধুর রব ফোন এ হবে না ,Dhur rob phn a hobe na
আবার ওয়াল্টন,abar walton
ধুর…..,Dhur…..
ডায়মন্ড আরন করার অ্যাপ আছে.....,Diamond earn korar apps ache…..
ডায়মন্ড হ্যাক হয় না ব্রো,Diamond hack Hoy na bro
আপনার কাছে ডাটা ফাইল ,apnar kache data file 
ডিরেক্ট অ্যাপস ইন্সটল হয় না.....,direct apps install hoy na…..
ডিরেক্ট ডাউনলোড লিংক দিবেন নেক্সট টাইম থেকে,direct downlaod link diben next time theke
ডিরেক্ট ডাউনলোড দিলে ভালো হই…….,Direct download dile valo hoi…….
ডিরেক্ট ডাউনলোড লিংক দেন..,Direct download link den..
ডিরেক্ট ডাউনলোড লিংক দেন ,direct download link den
ডিরেক্ট ডাউনলোড লিংক দেওয়ার চেষ্টা করুন ,direct download link deoyar cesta korun
ডিরেক্ট ডাউনলোড লিংক দেওয়া আছে..,direct download link dewa ase..
ডিরেক্ট ডাউনলোড লিংক কি বুঝেন? ,Direct download link ki bujen?
ডিরেক্ট ডাউনলোড লিংক না দিয়ে আপনার সাইট এর লিংক দিলেন কেনো..?? ,Direct download link na diye apnar site er link dilen keno..????
ডিরেক্ট লিংক দেন,direct link den
ডিরেক্ট লিংক দেন প্লিজ,Direct link den pls
ডিরেক্ট লিংক দিলে প্রব্লেম কি ভাই….,Direct Link Dile problem ki vai….
ডিরেক্ট লিংক দিলে ভালো হয় ,direct link dile valo hoy
ডিরেক্ট লিংক দিতে পারেন না…..,Direct Link dite paren Na…..
ডিরেক্ট ইউটিউব অর এফবি অ্যাপ থেকেই ,Direct youtube or fb app thekei
ডিসকভারি চ্যানেল এর শোগুলা আছে?,Discovery channel er showgula aca?
